OBJECTID *,Shape *,ID,Region,County,Type,School.Name,City,Grade.Range,Total.Students,Percent.Immunized,county_norm,school_key,full_address,latitude,longitude,_merge
107,Point,107,Upstate,Greenville,Public,Meyer Center for Special Children,Greenville,'3K - 2nd,45,0.933,greenville,meyer center for special children,"1132 Rutherford Road, Greenville, SC 29609",34.883091,-82.377533,both
108,Point,108,Upstate,Greenville,Private,Chandler School,Greenville,'K-8,47,0.872,greenville,chandler school,"2900 Augusta St, Greenville, SC 29605",34.812974,-82.383538,left_only
109,Point,109,Upstate,Greenville,Private,Hidden Treasure Christian School,Taylors,'5K-Adult,48,0.875,greenville,hidden treasure christian school,"500 W Lee Rd, Taylors, SC 29687",34.896069,-82.35093,left_only
110,Point,110,Upstate,Greenville,Private,Upstate Montessori Academy,Greenville,'3K-7th,56,0.732,greenville,upstate montessori academy,"109 N LEACH ST, GREENVILLE, SC 29601",34.845543,-82.416929,both
111,Point,111,Upstate,Greenville,Public,West Greenville School,Greenville,'6 to 12,59,0.949,greenville,west greenville school,"15 Endel St, Greenville, SC 29611",34.84919,-82.42593,left_only
112,Point,112,Upstate,Greenville,Private,St. Anthony of Padua School,Greenville,'K3-5th,60,0.75,greenville,st. anthony of padua school,"307 Gower St, Greenville, SC 29611",34.847941,-82.416023,left_only
113,Point,113,Upstate,Greenville,Private,Tabernacle Christian School,Greenville,'k4-12,72,0.694,greenville,tabernacle christian school,"3931 WHITE HORSE RD, GREENVILLE, SC 29611",34.83035,-82.447201,both
114,Point,114,Upstate,Greenville,Private,Hope Academy- Landrum Campus,Landrum,'K-12,72,0.806,greenville,hope academy- landrum campus,"424 N Hwy 101, Landrum, SC 29356",35.101011,-82.333704,left_only
115,Point,115,Upstate,Greenville,Private,Calvary Christian School - Greer,Greer,'5K-12th,88,0.42,greenville,calvary christian school - greer,"101 Calvary St, Greer, SC 29650",34.940337,-82.239437,left_only
116,Point,116,Upstate,Greenville,Private,Calvary's Kids Preschool,Greer,'K5-12th,88,0.42,greenville,calvary's kids preschool,"101 Calvary St, Greer, SC 29650",34.940337,-82.239437,left_only
